,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2022,8,FL,Final,"2,064,012","14,679,973","10,091,065",14.06,"1,062,488","9,492,194","1,285,379",11.19,"158,546","1,623,193","24,183",9.77,662,"6,518",2,10.16,"3,285,707","25,801,877","11,400,629",12.73
2022,8,GA,Final,"1,022,995","6,405,923","4,661,654",15.97,"676,952","4,865,789","609,504",13.91,"346,558","3,083,127","24,842",11.24,"1,784","12,702",1,14.05,"2,048,289","14,367,542","5,296,001",14.26
2022,8,HI,Final,"112,011","245,870","445,132",45.56,"108,173","255,943","60,182",42.26,"119,624","308,649",824,38.76,0,0,0,0.00,"339,808","810,462","506,138",41.93
2022,8,IA,Final,"222,764","1,449,733","1,427,705",15.37,"142,984","1,143,423","245,409",12.50,"202,889","2,282,028","9,708",8.89,0,0,0,0.00,"568,637","4,875,185","1,682,822",11.66
2022,8,ID,Final,"97,282","906,998","828,987",10.73,"56,458","647,854","120,010",8.71,"84,812","1,098,830","29,443",7.72,0,0,0,0.00,"238,552","2,653,682","978,440",8.99
2022,8,IL,Final,"821,300","4,908,903","5,392,478",16.73,"542,089","4,450,884","637,188",12.18,"345,695","3,703,206","5,499",9.34,"2,609","37,056",3,7.04,"1,711,692","13,100,049","6,035,168",13.07
2022,8,IN,Final,"539,936","3,564,957","2,995,567",15.15,"309,685","2,337,108","371,795",13.25,"363,258","3,809,628","19,103",9.54,125,826,1,15.12,"1,213,004","9,712,519","3,386,466",12.49
2022,8,KS,Final,"251,115","1,700,467","1,298,620",14.77,"200,234","1,622,732","246,098",12.34,"96,913","1,066,294","24,740",9.09,0,0,0,0.00,"548,263","4,389,493","1,569,458",12.49
2022,8,KY,Final,"365,304","2,691,435","2,051,328",13.57,"236,343","1,977,927","318,338",11.95,"200,512","2,348,809","5,405",8.54,0,0,0,0.00,"802,159","7,018,170","2,375,071",11.43
2022,8,LA,Final,"467,167","3,302,834","2,132,887",14.14,"293,030","2,293,840","301,859",12.77,"315,505","3,562,550","19,862",8.86,95,656,1,14.49,"1,075,797","9,159,880","2,454,609",11.74
2022,8,MA,Final,"564,087","2,131,700","3,072,747",26.46,"459,030","2,375,782","438,854",19.32,"100,213","544,300","10,566",18.41,"1,688","23,517",2,7.18,"1,125,018","5,075,299","3,522,169",22.17
2022,8,MD,Final,"398,597","2,799,700","2,417,323",14.24,"354,823","2,707,669","261,218",13.10,"35,017","320,102","9,168",10.94,"3,373","29,539",5,11.42,"791,809","5,857,010","2,687,714",13.52
2022,8,ME,Final,"102,158","484,670","744,097",21.08,"57,687","402,197","109,582",14.34,"27,563","253,514","2,192",10.87,0,0,0,0.00,"187,408","1,140,381","855,871",16.43
2022,8,MI,Final,"636,667","3,523,576","4,475,009",18.07,"443,428","3,557,853","555,147",12.46,"224,741","2,655,220","5,709",8.46,45,359,2,12.65,"1,304,882","9,737,008","5,035,867",13.40
2022,8,MN,Final,"324,596","2,126,802","2,529,215",15.26,"273,597","2,060,521","308,683",13.28,"177,924","1,841,694","9,554",9.66,138,"1,017",1,13.56,"776,254","6,030,034","2,847,453",12.87
2022,8,MO,Final,"541,982","3,883,309","2,899,860",13.96,"322,658","2,848,156","399,588",11.33,"106,394","1,145,293","9,840",9.29,200,"1,462",2,13.68,"971,235","7,878,220","3,309,290",12.33
2022,8,MS,Final,"250,921","2,034,510","1,332,961",12.33,"167,416","1,434,666","246,252",11.67,"102,524","1,439,725","11,330",7.12,0,0,0,0.00,"520,861","4,908,902","1,590,543",10.61
2022,8,MT,Final,"58,947","511,328","541,668",11.53,"48,365","458,677","114,853",10.54,"39,343","446,555","14,256",8.81,0,0,0,0.00,"146,655","1,416,560","670,777",10.35
2022,8,NC,Final,"749,190","6,309,158","4,872,174",11.87,"433,321","4,832,511","742,321",8.97,"186,008","2,433,177","9,296",7.64,103,"1,405",1,7.31,"1,368,622","13,576,252","5,623,792",10.08
2022,8,ND,Final,"46,883","367,539","392,952",12.76,"61,608","669,370","76,916",9.20,"75,778","1,029,984","9,205",7.36,0,0,0,0.00,"184,269","2,066,893","479,073",8.92
2022,8,NE,Final,"129,098","1,111,430","880,545",11.62,"85,924","928,925","159,595",9.25,"107,365","1,409,288","67,107",7.62,0,0,0,0.00,"322,387","3,449,643","1,107,247",9.35
2022,8,NH,Final,"142,268","518,886","643,855",27.42,"76,216","391,041","111,295",19.49,"26,749","174,890","3,158",15.29,0,0,0,0.00,"245,232","1,084,818","758,308",22.61
2022,8,NJ,Final,"693,999","4,026,184","3,682,346",17.24,"548,227","3,646,150","533,152",15.04,"83,286","609,834","11,240",13.66,"2,973","21,038",6,14.13,"1,328,486","8,303,206","4,226,744",16.00
2022,8,NM,Final,"115,123","777,406","921,079",14.81,"104,437","882,260","147,273",11.84,"64,439","960,489","9,318",6.71,0,0,0,0.00,"283,998","2,620,156","1,077,670",10.84
2022,8,NV,Final,"253,149","1,866,737","1,273,874",13.56,"140,703","1,305,635","173,973",10.78,"126,711","1,219,335","3,528",10.39,73,722,1,10.05,"520,635","4,392,429","1,451,376",11.85
2022,8,NY,Final,"1,260,591","5,944,884","7,323,847",21.20,"1,448,769","7,259,115","1,165,258",19.96,"121,532","1,433,563","7,279",8.48,"30,737","210,408",8,14.61,"2,861,629","14,847,971","8,496,392",19.27
2022,8,OH,Final,"786,117","5,284,985","5,087,642",14.87,"473,486","4,409,218","628,495",10.74,"367,765","4,437,987","19,395",8.29,348,"2,455",3,14.16,"1,627,716","14,134,645","5,735,535",11.52
2022,8,OK,Final,"417,394","2,915,848","1,843,550",14.31,"277,411","2,287,477","301,380",12.13,"159,762","1,951,043","20,253",8.19,0,0,0,0.00,"854,567","7,154,368","2,165,183",11.94
2022,8,OR,Final,"201,267","1,721,755","1,830,063",11.69,"142,708","1,549,934","245,204",9.21,"126,263","1,834,659","27,022",6.88,201,"1,880",2,10.71,"470,439","5,108,228","2,102,291",9.21
2022,8,PA,Final,"919,415","5,626,343","5,506,121",16.34,"406,146","3,592,667","731,263",11.30,"421,068","4,577,081","15,879",9.20,"3,348","33,975",7,9.86,"1,749,978","13,830,065","6,253,270",12.65
2022,8,RI,Final,"82,244","383,404","450,542",21.45,"56,007","358,713","59,142",15.61,"11,261","62,653","1,584",17.97,364,"1,983",1,18.37,"149,876","806,753","511,269",18.58
2022,8,SC,Final,"480,058","3,364,723","2,481,654",14.27,"266,786","2,361,286","405,268",11.30,"192,698","2,313,018","3,698",8.33,0,0,0,0.00,"939,543","8,039,028","2,890,620",11.69
2022,8,SD,Final,"59,969","462,133","420,848",12.98,"49,562","459,471","76,800",10.79,"25,363","310,905","4,331",8.16,0,0,0,0.00,"134,893","1,232,509","501,979",10.94
2022,8,TN,Final,"626,601","4,536,613","3,078,137",13.81,"483,917","3,562,910","529,894",13.58,"164,262","2,010,369","1,019",8.17,0,0,0,0.00,"1,274,779","10,109,892","3,609,050",12.61
2022,8,TX,Final,"2,795,018","19,798,831","12,111,359",14.12,"1,575,056","15,847,251","1,578,427",9.94,"1,043,341","13,531,055","331,598",7.71,"1,160","17,731",3,6.54,"5,414,573","49,194,868","14,021,387",11.01
2022,8,UT,Final,"146,690","1,294,935","1,210,719",11.33,"105,982","1,244,623","142,468",8.52,"57,788","812,745","10,448",7.11,482,"3,828",1,12.58,"310,941","3,356,131","1,363,636",9.26
2022,8,VA,Final,"637,649","4,510,417","3,589,735",14.14,"666,038","6,281,257","438,108",10.60,"124,569","1,440,846","3,681",8.65,"1,160","9,940",1,11.67,"1,429,416","12,242,460","4,031,525",11.68
2022,8,VT,Final,"39,834","200,633","322,280",19.85,"32,197","189,904","62,008",16.95,"13,805","113,569",253,12.16,0,0,0,0.00,"85,835","504,107","384,541",17.03
2022,8,WA,Final,"311,164","2,987,810","3,285,972",10.41,"246,620","2,608,435","398,863",9.45,"128,361","1,966,266","27,433",6.53,931,"9,249",5,10.07,"687,076","7,571,760","3,712,273",9.07
2022,8,WI,Final,"336,695","2,142,456","2,785,178",15.72,"261,691","2,169,714","362,432",12.06,"204,875","2,232,487","5,731",9.18,16,93,2,16.85,"803,277","6,544,750","3,153,343",12.27
2022,8,WV,Final,"131,640","951,770","862,805",13.83,"70,487","684,996","149,867",10.29,"84,868","1,234,315","11,217",6.88,0,0,0,0.00,"286,994","2,871,082","1,023,889",10.00
2022,8,WY,Final,"27,163","228,539","281,668",11.89,"30,534","316,950","58,706",9.63,"61,863","854,144","11,886",7.24,0,0,0,0.00,"119,560","1,399,634","352,260",8.54
2022,7,AK,Final,"35,446","145,539","294,673",24.36,"41,794","206,576","56,435",20.23,"21,966","110,858","1,162",19.81,0,0,0,0.00,"99,207","462,972","352,270",21.43
2022,7,AL,Final,"549,791","3,707,143","2,332,756",14.83,"311,712","2,261,395","379,697",13.78,"256,803","2,911,337","7,275",8.82,0,0,0,0.00,"1,118,307","8,879,874","2,719,728",12.59
2022,7,AR,Final,"286,077","2,211,679","1,446,253",12.93,"133,464","1,233,979","203,039",10.82,"139,963","1,675,569","39,695",8.35,3,17,2,17.58,"559,507","5,121,245","1,688,989",10.93
2022,7,AZ,Final,"675,059","5,160,664","3,006,815",13.08,"384,394","3,327,069","340,315",11.55,"114,891","1,296,118","7,831",8.86,104,946,2,11.03,"1,174,449","9,784,797","3,354,963",12.00
2022,7,CA,Final,"2,349,497","8,972,985","13,770,639",26.18,"2,549,550","10,700,203","1,740,396",23.83,"883,139","4,461,676","144,782",19.79,"8,743","53,332",12,16.39,"5,790,928","24,188,196","15,655,829",23.94
2022,7,CO,Final,"328,451","2,278,177","2,479,706",14.42,"249,489","2,001,301","391,292",12.47,"127,009","1,400,240","15,011",9.07,778,"7,676",1,10.13,"705,727","5,687,395","2,886,010",12.41
2022,7,CT,Final,"285,096","1,470,264","1,536,680",19.39,"190,569","1,168,456","155,408",16.31,"39,594","264,302","3,951",14.98,"2,480","15,731",3,15.77,"517,740","2,918,753","1,696,042",17.74
2022,7,DC,Final,"37,445","270,173","307,511",13.86,"118,232","730,223","27,187",16.19,"1,311","16,625",1,7.88,"2,342","24,493",3,9.56,"159,329","1,041,514","334,702",15.30
2022,7,DE,Final,"70,954","530,453","461,804",13.38,"48,269","436,222","59,368",11.07,"18,623","191,957",863,9.70,0,0,0,0.00,"137,845","1,158,633","522,035",11.90
2022,7,FL,Final,"2,039,763","14,660,674","10,073,315",13.91,"1,037,971","9,398,748","1,283,137",11.04,"144,442","1,532,273","24,031",9.43,672,"6,680",2,10.06,"3,222,848","25,598,375","11,380,485",12.59
2022,7,GA,Final,"1,095,934","6,932,030","4,651,583",15.81,"692,601","4,935,679","608,040",14.03,"357,704","3,048,658","24,852",11.73,"1,938","12,368",1,15.67,"2,148,177","14,928,734","5,284,476",14.39
2022,7,HI,Final,"107,063","237,319","444,784",45.11,"102,991","245,855","60,157",41.89,"116,896","306,407",825,38.15,0,0,0,0.00,"326,950","789,581","505,766",41.41
2022,7,IA,Final,"241,262","1,537,817","1,425,883",15.69,"143,017","1,105,410","245,551",12.94,"217,797","2,375,314","9,632",9.17,0,0,0,0.00,"602,075","5,018,540","1,681,066",12.00
2022,7,ID,Final,"101,879","911,239","827,143",11.18,"56,067","633,999","119,689",8.84,"103,018","1,348,418","29,399",7.64,0,0,0,0.00,"260,964","2,893,656","976,231",9.02
2022,7,IL,Final,"860,808","5,260,592","5,357,751",16.36,"536,807","4,401,330","632,667",12.20,"337,398","3,707,130","5,476",9.10,"2,736","39,311",3,6.96,"1,737,749","13,408,362","5,995,897",12.96
2022,7,IN,Final,"519,805","3,575,099","2,987,945",14.54,"276,140","2,136,417","371,612",12.93,"335,799","3,749,326","19,097",8.96,120,949,1,12.66,"1,131,865","9,461,791","3,378,655",11.96
2022,7,KS,Final,"255,227","1,727,523","1,303,623",14.77,"193,432","1,584,995","245,680",12.20,"94,086","1,060,974","24,758",8.87,0,0,0,0.00,"542,744","4,373,491","1,574,061",12.41
2022,7,KY,Final,"380,591","2,865,628","2,045,573",13.28,"238,271","2,008,856","318,477",11.86,"200,727","2,411,859","5,396",8.32,0,0,0,0.00,"819,589","7,286,343","2,369,446",11.25
2022,7,LA,Final,"513,534","3,645,418","2,125,050",14.09,"297,065","2,320,135","303,546",12.80,"310,564","3,443,828","20,014",9.02,143,"1,130",1,12.65,"1,121,305","9,410,510","2,448,611",11.92
2022,7,MA,Final,"455,788","1,918,352","2,871,948",23.76,"433,784","2,402,139","437,234",18.06,"100,989","567,776","10,574",17.79,"1,579","23,045",2,6.85,"992,139","4,911,312","3,319,758",20.20
2022,7,MD,Final,"413,809","2,909,940","2,415,891",14.22,"349,174","2,718,853","261,094",12.84,"34,747","329,718","9,166",10.54,"3,055","31,032",5,9.85,"800,785","5,989,543","2,686,156",13.37
2022,7,ME,Final,"91,885","399,762","712,753",22.99,"53,221","347,433","105,432",15.32,"24,387","216,502","2,082",11.26,0,0,0,0.00,"169,493","963,696","820,267",17.59
2022,7,MI,Final,"677,238","3,738,581","4,473,806",18.11,"447,145","3,560,300","555,120",12.56,"212,313","2,446,716","5,789",8.68,45,366,2,12.34,"1,336,742","9,745,962","5,034,717",13.72
2022,7,MN,Final,"344,426","2,258,447","2,524,144",15.25,"275,139","2,079,182","308,621",13.23,"177,004","1,844,956","9,446",9.59,172,"1,192",1,14.43,"796,742","6,183,776","2,842,212",12.88
2022,7,MO,Final,"562,826","4,131,868","2,870,178",13.62,"323,554","2,928,443","399,442",11.05,"105,425","1,168,416","9,836",9.02,221,"1,702",2,12.99,"992,026","8,230,429","3,279,458",12.05
2022,7,MS,Final,"260,683","2,157,950","1,329,789",12.08,"161,020","1,441,314","245,504",11.17,"94,659","1,422,345","11,414",6.66,0,0,0,0.00,"516,362","5,021,609","1,586,707",10.28
2022,7,MT,Final,"49,376","423,311","540,583",11.66,"43,544","411,197","114,746",10.59,"25,950","421,012","14,009",6.16,0,0,0,0.00,"118,870","1,255,520","669,338",9.47
2022,7,NC,Final,"769,509","6,681,091","4,862,352",11.52,"428,715","4,843,825","735,778",8.85,"168,698","2,501,506","9,304",6.74,110,"1,528",1,7.17,"1,367,032","14,027,949","5,607,435",9.75
2022,7,ND,Final,"47,545","378,417","392,375",12.56,"59,284","663,999","76,829",8.93,"73,474","1,007,521","9,174",7.29,0,0,0,0.00,"180,304","2,049,937","478,378",8.80
2022,7,NE,Final,"132,672","1,114,993","877,300",11.90,"86,527","913,614","159,546",9.47,"95,720","1,266,390","66,554",7.56,0,0,0,0.00,"314,919","3,294,997","1,103,400",9.56
2022,7,NH,Final,"105,037","482,446","643,653",21.77,"67,991","399,296","111,211",17.03,"25,826","173,541","3,175",14.88,0,0,0,0.00,"198,854","1,055,283","758,039",18.84
2022,7,NJ,Final,"713,506","4,172,125","3,684,047",17.10,"529,708","3,662,095","534,489",14.46,"77,140","563,668","11,421",13.69,"2,984","21,951",7,13.60,"1,323,338","8,419,839","4,229,964",15.72
2022,7,NM,Final,"121,514","819,069","920,459",14.84,"111,259","909,473","147,168",12.23,"66,189","949,136","9,301",6.97,0,0,0,0.00,"298,962","2,677,678","1,076,928",11.17
2022,7,NV,Final,"274,273","2,034,008","1,272,252",13.48,"141,963","1,337,961","173,792",10.61,"116,680","1,172,655","3,525",9.95,65,666,1,9.75,"532,981","4,545,290","1,449,570",11.73
2022,7,NY,Final,"1,233,377","5,637,791","7,327,446",21.88,"1,303,965","6,565,057","1,163,988",19.86,"120,417","1,451,469","7,217",8.30,"31,740","214,364",8,14.81,"2,689,500","13,868,681","8,498,659",19.39
2022,7,OH,Final,"825,603","5,632,204","5,080,198",14.66,"473,346","4,459,517","628,119",10.61,"345,691","4,201,424","19,349",8.23,343,"2,421",3,14.16,"1,644,982","14,295,567","5,727,669",11.51
2022,7,OK,Final,"427,640","3,233,827","1,840,269",13.22,"266,933","2,359,049","300,586",11.32,"154,020","1,912,497","20,237",8.05,0,0,0,0.00,"848,592","7,505,373","2,161,092",11.31
2022,7,OR,Final,"200,745","1,698,372","1,827,301",11.82,"139,515","1,513,614","245,066",9.22,"113,850","1,711,586","26,861",6.65,197,"1,840",2,10.73,"454,307","4,925,411","2,099,230",9.22
2022,7,PA,Final,"904,891","5,492,332","5,503,637",16.48,"382,485","3,460,550","732,277",11.05,"401,899","4,508,872","15,841",8.91,"5,547","61,200",7,9.06,"1,694,822","13,522,954","6,251,762",12.53
2022,7,RI,Final,"72,769","375,063","453,523",19.40,"54,331","363,570","60,048",14.94,"9,093","51,714","1,583",17.58,336,"1,915",1,17.53,"136,529","792,261","515,155",17.23
2022,7,SC,Final,"501,748","3,661,562","2,473,680",13.70,"280,073","2,467,990","402,262",11.35,"194,617","2,415,212","3,705",8.06,0,0,0,0.00,"976,438","8,544,764","2,879,647",11.43
2022,7,SD,Final,"60,772","467,445","419,350",13.00,"47,232","440,022","76,591",10.73,"24,439","292,390","4,300",8.36,0,0,0,0.00,"132,442","1,199,858","500,241",11.04
2022,7,TN,Final,"622,472","4,814,397","3,064,914",12.93,"465,662","3,672,737","530,218",12.68,"148,644","1,976,718","1,019",7.52,0,0,0,0.00,"1,236,777","10,463,852","3,596,151",11.82
2022,7,TX,Final,"2,844,553","20,742,408","12,052,926",13.71,"1,502,649","15,374,329","1,572,376",9.77,"1,035,727","11,992,237","324,508",8.64,"1,064","16,120",3,6.60,"5,383,993","48,125,094","13,949,813",11.19
2022,7,UT,Final,"165,745","1,454,028","1,207,579",11.40,"109,543","1,248,219","142,539",8.78,"60,512","882,912","10,445",6.85,505,"3,944",1,12.80,"336,305","3,589,103","1,360,564",9.37
2022,7,VA,Final,"693,280","4,873,584","3,583,484",14.23,"670,353","6,784,620","437,286",9.88,"126,272","1,509,734","3,666",8.36,"1,204","11,246",1,10.70,"1,491,109","13,179,183","4,024,437",11.31
2022,7,VT,Final,"38,500","193,538","321,020",19.89,"30,293","176,371","61,846",17.18,"14,102","119,823",253,11.77,0,0,0,0.00,"82,895","489,732","383,119",16.93
2022,7,WA,Final,"294,607","2,820,201","3,273,422",10.45,"233,108","2,462,318","400,344",9.47,"106,938","1,832,664","26,519",5.84,890,"8,780",5,10.14,"635,544","7,123,962","3,700,290",8.92
2022,7,WI,Final,"355,076","2,267,752","2,788,725",15.66,"263,610","2,189,379","364,151",12.04,"193,858","2,086,460","5,671",9.29,17,97,2,17.23,"812,561","6,543,688","3,158,549",12.42
2022,7,WV,Final,"130,912","953,002","862,305",13.74,"68,128","655,803","149,711",10.39,"89,878","1,247,020","11,192",7.21,0,0,0,0.00,"288,918","2,855,826","1,023,208",10.12
2022,7,WY,Final,"28,111","238,301","281,252",11.80,"29,469","302,596","58,635",9.74,"61,550","862,387","11,836",7.14,0,0,0,0.00,"119,130","1,403,284","351,723",8.49
2022,6,AK,Final,"33,379","138,423","294,721",24.11,"41,412","203,334","56,354",20.37,"22,017","109,974","1,164",20.02,0,0,0,0.00,"96,808","451,731","352,239",21.43
2022,6,AL,Final,"475,416","3,246,499","2,332,073",14.64,"287,496","2,132,440","381,572",13.48,"242,094","2,856,132","7,273",8.48,0,0,0,0.00,"1,005,006","8,235,070","2,720,918",12.20
2022,6,AR,Final,"213,151","1,667,651","1,445,117",12.78,"114,774","1,067,598","203,030",10.75,"123,917","1,553,149","36,263",7.98,2,16,2,13.36,"451,844","4,288,413","1,684,412",10.54
2022,6,AZ,Final,"583,243","4,415,545","3,001,929",13.21,"348,487","3,060,783","339,795",11.39,"101,204","1,259,684","7,842",8.03,103,945,2,10.94,"1,033,037","8,736,957","3,349,568",11.82
2022,6,CA,Final,"2,140,183","7,600,564","14,176,579",28.16,"2,132,896","9,441,967","1,794,218",22.59,"782,793","4,463,987","151,248",17.54,"8,100","58,247",12,13.91,"5,063,973","21,564,764","16,122,057",23.48
2022,6,CO,Final,"258,653","1,810,533","2,477,410",14.29,"223,614","1,798,598","392,390",12.43,"110,154","1,272,874","15,166",8.65,732,"7,396",1,9.90,"593,152","4,889,402","2,884,967",12.13
2022,6,CT,Final,"263,135","1,042,161","1,536,504",25.25,"189,770","1,008,666","155,375",18.81,"35,701","234,905","3,973",15.20,"2,084","14,498",3,14.37,"490,690","2,300,230","1,695,855",21.33
2022,6,DC,Final,"31,226","225,957","306,848",13.82,"103,154","662,206","27,118",15.58,"1,136","15,767",1,7.20,"2,042","19,763",3,10.33,"137,557","923,693","333,970",14.89
2022,6,DE,Final,"55,686","417,582","461,181",13.34,"40,806","391,032","59,331",10.44,"15,584","180,042",866,8.66,0,0,0,0.00,"112,075","988,656","521,378",11.34
2022,6,FL,Final,"1,815,668","13,111,167","10,061,016",13.85,"980,081","8,843,627","1,283,496",11.08,"141,400","1,557,566","23,902",9.08,653,"6,450",2,10.13,"2,937,802","23,518,810","11,368,416",12.49
2022,6,GA,Final,"930,442","6,175,892","4,645,915",15.07,"642,451","4,639,221","608,239",13.85,"367,250","2,948,681","24,815",12.45,"1,571","11,744",1,13.38,"1,941,714","13,775,538","5,278,970",14.10
2022,6,HI,Final,"99,514","224,564","444,885",44.31,"95,256","233,773","60,123",40.75,"104,528","281,857",824,37.09,0,0,0,0.00,"299,298","740,193","505,832",40.44
2022,6,IA,Final,"190,929","1,267,716","1,424,829",15.06,"129,284","1,050,024","245,162",12.31,"200,284","2,233,571","9,683",8.97,0,0,0,0.00,"520,497","4,551,311","1,679,674",11.44
2022,6,ID,Final,"72,944","644,201","825,612",11.32,"48,063","535,793","119,560",8.97,"85,288","1,071,762","29,404",7.96,0,0,0,0.00,"206,295","2,251,756","974,576",9.16
2022,6,IL,Final,"736,745","4,444,202","5,372,478",16.58,"495,671","4,132,548","634,537",11.99,"336,014","3,735,481","5,506",9.00,"2,537","33,423",3,7.59,"1,570,966","12,345,654","6,012,524",12.72
2022,6,IN,Final,"421,388","2,924,816","2,990,074",14.41,"278,521","2,219,374","371,633",12.55,"328,605","3,633,858","19,117",9.04,120,912,1,13.14,"1,028,634","8,778,960","3,380,825",11.72
2022,6,KS,Final,"208,209","1,448,261","1,296,520",14.38,"169,956","1,416,050","245,649",12.00,"84,203","1,007,673","24,720",8.36,0,0,0,0.00,"462,368","3,871,983","1,566,889",11.94
2022,6,KY,Final,"308,649","2,344,685","2,046,889",13.16,"214,554","1,769,808","320,137",12.12,"212,564","2,533,342","5,498",8.39,0,0,0,0.00,"735,768","6,647,835","2,372,524",11.07
2022,6,LA,Final,"421,506","3,232,644","2,127,230",13.04,"256,967","2,206,285","302,430",11.65,"275,237","3,618,403","20,070",7.61,101,787,1,12.85,"953,811","9,058,120","2,449,731",10.53
2022,6,MA,Final,"373,419","1,492,612","2,880,914",25.02,"354,492","1,981,856","437,890",17.89,"92,660","543,076","10,532",17.06,"1,534","23,357",2,6.57,"822,105","4,040,901","3,329,338",20.34
2022,6,MD,Final,"332,331","2,274,330","2,416,109",14.61,"311,259","2,430,758","261,049",12.81,"33,007","317,434","9,160",10.40,"2,540","29,279",5,8.68,"679,137","5,051,801","2,686,323",13.44
2022,6,ME,Final,"85,941","356,438","742,426",24.11,"54,940","334,058","109,129",16.45,"23,064","191,773","2,206",12.03,0,0,0,0.00,"163,944","882,269","853,761",18.58
2022,6,MI,Final,"569,769","3,130,845","4,471,247",18.20,"417,820","3,292,877","554,516",12.69,"214,171","2,446,122","5,826",8.76,42,341,2,12.42,"1,201,802","8,870,184","5,031,591",13.55
2022,6,MN,Final,"289,899","1,919,260","2,523,443",15.10,"251,694","1,909,727","307,755",13.18,"171,287","1,684,631","9,498",10.17,221,"1,596",1,13.85,"713,100","5,515,215","2,840,697",12.93
2022,6,MO,Final,"450,027","3,328,580","2,878,637",13.52,"292,634","2,661,006","399,126",11.00,"102,566","1,161,848","9,880",8.83,196,"2,169",2,9.02,"845,423","7,153,602","3,287,645",11.82
2022,6,MS,Final,"226,874","1,831,797","1,329,720",12.39,"154,458","1,333,237","245,687",11.59,"93,274","1,382,462","11,428",6.75,0,0,0,0.00,"474,607","4,547,496","1,586,835",10.44
2022,6,MT,Final,"42,540","367,884","539,948",11.56,"40,908","390,895","114,494",10.47,"22,330","401,853","13,635",5.56,0,0,0,0.00,"105,778","1,160,632","668,077",9.11
2022,6,NC,Final,"647,892","5,720,586","4,856,093",11.33,"371,331","4,431,284","742,119",8.38,"155,720","2,173,458","9,318",7.16,105,"1,469",1,7.14,"1,175,047","12,326,797","5,607,531",9.53
2022,6,ND,Final,"42,290","321,928","392,177",13.14,"60,388","648,956","76,737",9.31,"70,316","949,865","9,174",7.40,0,0,0,0.00,"172,994","1,920,748","478,088",9.01
2022,6,NE,Final,"103,475","902,826","877,831",11.46,"75,916","822,379","158,868",9.23,"92,521","1,192,880","66,863",7.76,0,0,0,0.00,"271,912","2,918,085","1,103,562",9.32
2022,6,NH,Final,"82,805","365,223","643,371",22.67,"58,761","342,275","111,309",17.17,"23,352","163,144","3,174",14.31,0,0,0,0.00,"164,918","870,642","757,854",18.94
2022,6,NJ,Final,"477,370","2,787,008","3,693,221",17.13,"460,816","3,173,194","535,055",14.52,"77,089","604,345","11,546",12.76,"2,693","20,904",7,12.88,"1,017,968","6,585,451","4,239,829",15.46
2022,6,NM,Final,"98,486","710,191","921,231",13.87,"92,349","811,290","147,487",11.38,"59,087","933,806","9,296",6.33,0,0,0,0.00,"249,922","2,455,287","1,078,014",10.18
2022,6,NV,Final,"208,042","1,581,219","1,272,117",13.16,"113,335","1,195,113","174,407",9.48,"99,774","1,112,572","3,512",8.97,64,697,1,9.24,"421,215","3,889,602","1,450,037",10.83
2022,6,NY,Final,"953,098","4,263,376","7,333,658",22.36,"1,165,778","6,005,194","1,166,495",19.41,"108,152","1,433,613","7,378",7.54,"29,651","204,556",8,14.50,"2,256,679","11,906,739","8,507,539",18.95
2022,6,OH,Final,"661,920","4,678,336","5,108,653",14.15,"425,657","3,959,347","634,387",10.75,"358,287","4,451,571","19,683",8.05,325,"2,673",3,12.15,"1,446,188","13,091,927","5,762,726",11.05
2022,6,OK,Final,"325,423","2,499,428","1,838,284",13.02,"232,265","2,084,579","300,528",11.14,"144,570","1,893,418","20,282",7.64,0,0,0,0.00,"702,257","6,477,425","2,159,094",10.84
2022,6,OR,Final,"160,979","1,354,857","1,825,651",11.88,"122,476","1,310,925","244,639",9.34,"105,348","1,601,150","26,919",6.58,196,"1,865",2,10.50,"388,999","4,268,797","2,097,211",9.11
2022,6,PA,Final,"717,175","4,383,468","5,500,250",16.36,"337,289","3,072,762","729,834",10.98,"377,131","4,415,756","15,776",8.54,"2,123","25,606",7,8.29,"1,433,718","11,897,593","6,245,867",12.05
2022,6,RI,Final,"45,935","195,274","437,956",23.52,"45,146","288,472","58,974",15.65,"8,810","50,826","1,594",17.33,348,"1,884",1,18.49,"100,239","536,456","498,525",18.69
2022,6,SC,Final,"429,468","3,142,333","2,478,778",13.67,"245,456","2,261,280","405,286",10.85,"167,783","2,229,918","3,696",7.52,0,0,0,0.00,"842,706","7,633,531","2,887,760",11.04
2022,6,SD,Final,"49,360","372,636","419,502",13.25,"43,963","404,801","76,205",10.86,"22,565","271,072","4,309",8.32,0,0,0,0.00,"115,888","1,048,509","500,016",11.05
2022,6,TN,Final,"456,410","3,742,435","3,066,014",12.20,"387,755","3,224,387","527,873",12.03,"135,215","2,009,536","1,020",6.73,0,0,0,0.00,"979,379","8,976,358","3,594,907",10.91
