,,,,RESIDENTIAL,,,,COMMERCIAL,,,,INDUSTRIAL,,,,TRANSPORTATION,,,,TOTAL,,,
,,,,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price,Revenue,Sales,Customers,Price
Year,Month,State,Data Status,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh,Thousand Dollars,Megawatthours,Count,Cents/kWh
2024,5,VT,Preliminary,"33,710","151,170","321,859",22.30,"29,244","155,952","62,729",18.75,"11,606","104,187",232,11.14,0,0,0,0.00,"74,559","411,309","384,820",18.13
2024,5,WA,Preliminary,"330,618","2,717,959","3,381,996",12.16,"248,737","2,377,712","413,280",10.46,"105,061","1,701,955","27,172",6.17,770,"6,992",5,11.01,"685,185","6,804,618","3,822,453",10.07
2024,5,WI,Preliminary,"273,452","1,534,256","2,851,525",17.82,"239,513","1,901,139","370,139",12.60,"161,166","1,926,400","5,652",8.37,20,107,2,18.37,"674,151","5,361,902","3,227,318",12.57
2024,5,WV,Preliminary,"109,253","683,876","864,855",15.98,"76,172","631,341","151,817",12.07,"98,826","1,238,937","10,970",7.98,0,0,0,0.00,"284,251","2,554,153","1,027,642",11.13
2024,5,WY,Preliminary,"25,925","202,441","287,127",12.81,"39,252","430,612","59,299",9.12,"59,762","785,101","11,996",7.61,0,0,0,0.00,"124,939","1,418,155","358,422",8.81
2024,4,AK,Preliminary,"40,698","163,529","299,222",24.89,"45,754","211,414","57,494",21.64,"22,586","116,543","1,201",19.38,0,0,0,0.00,"109,038","491,486","357,917",22.19
2024,4,AL,Preliminary,"309,389","1,952,086","2,396,011",15.85,"233,633","1,702,207","386,508",13.73,"189,292","2,541,659","7,193",7.45,0,0,0,0.00,"732,314","6,195,952","2,789,712",11.82
2024,4,AR,Preliminary,"137,693","1,092,827","1,478,935",12.60,"86,423","847,226","209,399",10.20,"88,081","1,503,324","29,706",5.86,3,20,2,13.36,"312,199","3,443,397","1,718,042",9.07
2024,4,AZ,Preliminary,"349,087","2,290,190","3,079,843",15.24,"304,573","2,504,258","344,371",12.16,"81,366","1,138,933","7,102",7.14,90,863,2,10.48,"735,117","5,934,244","3,431,318",12.39
2024,4,CA,Preliminary,"1,854,803","5,414,584","14,065,289",34.26,"1,999,266","8,746,867","1,768,686",22.86,"637,132","3,301,606","146,764",19.30,"9,399","57,900",12,16.23,"4,500,600","17,520,957","15,980,751",25.69
2024,4,CO,Preliminary,"203,197","1,375,826","2,486,421",14.77,"184,183","1,581,164","398,077",11.65,"107,339","1,196,699","14,797",8.97,731,"7,380",1,9.90,"495,449","4,161,069","2,899,296",11.91
2024,4,CT,Preliminary,"259,866","878,387","1,548,172",29.58,"171,330","823,094","157,391",20.82,"32,887","206,860","3,887",15.90,"2,343","14,605",3,16.04,"466,424","1,922,947","1,709,453",24.26
2024,4,DC,Preliminary,"27,866","156,103","317,645",17.85,"86,742","509,880","27,478",17.01,"1,521","13,931",1,10.92,"2,247","21,730",3,10.34,"118,376","701,644","345,127",16.87
2024,4,DE,Preliminary,"62,272","340,686","468,462",18.28,"38,425","292,863","60,196",13.12,"11,955","139,974",763,8.54,0,0,0,0.00,"112,652","773,523","529,421",14.56
2024,4,FL,Preliminary,"1,340,664","9,148,365","10,347,782",14.65,"876,619","7,669,433","1,293,469",11.43,"121,745","1,374,980","26,843",8.85,673,"5,933",2,11.35,"2,339,702","18,198,711","11,668,096",12.86
2024,4,GA,Preliminary,"541,516","3,841,529","4,799,263",14.10,"427,258","3,801,358","614,517",11.24,"164,724","2,705,466","23,810",6.09,677,"11,512",1,5.88,"1,134,174","10,359,865","5,437,591",10.95
2024,4,HI,Preliminary,"88,309","195,438","446,435",45.19,"87,479","214,282","59,779",40.82,"97,828","270,945",817,36.11,0,0,0,0.00,"273,617","680,665","507,031",40.20
2024,4,IA,Preliminary,"135,472","1,033,925","1,464,482",13.10,"90,979","954,742","251,055",9.53,"138,349","2,263,555","8,631",6.11,0,0,0,0.00,"364,800","4,252,221","1,724,168",8.58
2024,4,ID,Preliminary,"75,899","662,797","858,731",11.45,"48,706","525,203","123,230",9.27,"45,056","645,604","29,678",6.98,0,0,0,0.00,"169,661","1,833,605","1,011,639",9.25
2024,4,IL,Preliminary,"469,322","2,812,996","5,457,905",16.68,"392,496","3,290,614","638,142",11.93,"297,797","3,381,266","5,533",8.81,"5,156","58,891",3,8.76,"1,164,771","9,543,767","6,101,583",12.20
2024,4,IN,Preliminary,"327,063","2,132,795","2,993,733",15.33,"221,778","1,746,596","375,919",12.70,"269,480","3,356,558","18,676",8.03,145,"1,190",1,12.19,"818,466","7,237,139","3,388,329",11.31
2024,4,KS,Preliminary,"117,965","820,097","1,339,486",14.38,"130,931","1,184,732","249,045",11.05,"70,470","897,313","24,170",7.85,0,0,0,0.00,"319,367","2,902,142","1,612,701",11.00
2024,4,KY,Preliminary,"218,689","1,682,865","2,035,499",13.00,"170,656","1,457,570","325,723",11.71,"141,498","2,186,953","5,392",6.47,0,0,0,0.00,"530,843","5,327,388","2,366,614",9.96
2024,4,LA,Preliminary,"216,492","1,792,785","2,175,461",12.08,"187,309","1,735,749","301,140",10.79,"208,940","3,424,967","18,246",6.10,81,663,1,12.25,"612,823","6,954,164","2,494,848",8.81
2024,4,MA,Preliminary,"435,017","1,474,409","2,884,941",29.50,"367,332","1,858,533","447,993",19.76,"79,474","446,977","10,183",17.78,"2,133","22,730",2,9.38,"883,956","3,802,649","3,343,119",23.25
2024,4,MD,Preliminary,"308,460","1,728,133","2,445,496",17.85,"251,218","1,998,680","261,858",12.57,"28,149","279,344","9,080",10.08,"3,737","32,282",5,11.58,"591,564","4,038,440","2,716,439",14.65
2024,4,ME,Preliminary,"89,660","438,039","751,651",20.47,"57,484","326,355","111,967",17.61,"22,227","170,997","1,993",13.00,0,0,0,0.00,"169,372","935,391","865,611",18.11
2024,4,MI,Preliminary,"432,970","2,251,208","4,529,699",19.23,"400,723","2,827,688","563,557",14.17,"190,839","2,327,454","5,684",8.20,67,473,2,14.22,"1,024,600","7,406,824","5,098,942",13.83
2024,4,MN,Preliminary,"245,948","1,631,011","2,595,572",15.08,"199,007","1,669,239","307,787",11.92,"142,090","1,598,796","9,495",8.89,163,"1,211",1,13.42,"587,207","4,900,257","2,912,855",11.98
2024,4,MO,Preliminary,"276,814","2,210,814","2,885,292",12.52,"208,438","2,172,477","384,842",9.59,"73,178","994,438","9,424",7.36,154,"1,796",2,8.60,"558,585","5,379,525","3,279,560",10.38
2024,4,MS,Preliminary,"161,225","1,101,416","1,369,387",14.64,"131,941","1,051,148","245,038",12.55,"86,345","1,262,491","10,887",6.84,0,0,0,0.00,"379,511","3,415,055","1,625,312",11.11
2024,4,MT,Preliminary,"54,801","437,872","557,146",12.52,"46,883","398,806","118,217",11.76,"27,240","409,536","10,807",6.65,0,0,0,0.00,"128,925","1,246,213","686,170",10.35
2024,4,NC,Preliminary,"576,885","3,851,086","5,059,458",14.98,"401,209","3,758,196","745,697",10.68,"168,309","2,202,909","9,106",7.64,99,965,1,10.27,"1,146,502","9,813,156","5,814,262",11.68
2024,4,ND,Preliminary,"41,149","363,054","397,735",11.33,"64,364","890,462","77,676",7.23,"79,298","1,113,003","9,462",7.12,0,0,0,0.00,"184,810","2,366,519","484,873",7.81
2024,4,NE,Preliminary,"81,660","688,949","911,339",11.85,"65,933","699,485","163,542",9.43,"80,808","1,105,250","65,874",7.31,0,0,0,0.00,"228,401","2,493,684","1,140,755",9.16
2024,4,NH,Preliminary,"78,824","342,769","650,456",23.00,"58,557","304,122","111,898",19.25,"23,537","148,584","3,107",15.84,0,0,0,0.00,"160,918","795,476","765,461",20.23
2024,4,NJ,Preliminary,"339,623","1,840,479","3,727,688",18.45,"389,818","2,681,483","541,325",14.54,"55,660","484,650","11,267",11.48,"6,103","58,783",7,10.38,"791,203","5,065,394","4,280,287",15.62
2024,4,NM,Preliminary,"65,094","455,626","917,359",14.29,"71,857","690,904","147,869",10.40,"62,001","1,073,289","9,541",5.78,0,0,0,0.00,"198,952","2,219,819","1,074,769",8.96
2024,4,NV,Preliminary,"132,995","801,737","1,302,298",16.59,"98,858","953,645","175,622",10.37,"78,021","1,000,746","4,787",7.80,67,577,1,11.58,"309,941","2,756,706","1,482,708",11.24
2024,4,NY,Preliminary,"806,776","3,513,043","7,409,391",22.97,"930,485","5,300,067","1,161,025",17.56,"99,281","1,300,756","16,630",7.63,"30,877","210,293",8,14.68,"1,867,419","10,324,158","8,587,054",18.09
2024,4,OH,Preliminary,"586,708","3,502,815","5,111,368",16.75,"409,787","3,832,890","627,385",10.69,"279,245","4,013,679","18,553",6.96,176,"2,434",2,7.23,"1,275,915","11,351,817","5,757,308",11.24
2024,4,OK,Preliminary,"171,648","1,378,127","1,889,113",12.46,"143,945","1,768,725","304,930",8.14,"98,292","1,849,675","18,532",5.31,0,0,0,0.00,"413,885","4,996,526","2,212,575",8.28
2024,4,OR,Preliminary,"211,383","1,447,775","1,870,170",14.60,"157,518","1,357,492","251,411",11.60,"95,782","1,335,676","25,641",7.17,224,"1,778",2,12.62,"464,908","4,142,720","2,147,224",11.22
2024,4,PA,Preliminary,"857,588","4,778,206","7,081,177",17.95,"350,108","3,045,773","845,510",11.49,"325,156","4,265,784","15,004",7.62,280,"2,026",2,13.84,"1,533,133","12,091,789","7,941,693",12.68
2024,4,RI,Preliminary,"58,958","211,094","456,031",27.93,"54,048","282,470","61,319",19.13,"8,594","44,146","1,589",19.47,416,"2,145",1,19.41,"122,016","539,853","518,940",22.60
2024,4,SC,Preliminary,"295,865","1,986,004","2,569,923",14.90,"206,377","2,000,857","410,132",10.31,"133,831","2,059,835","3,541",6.50,0,0,0,0.00,"636,072","6,046,696","2,983,596",10.52
2024,4,SD,Preliminary,"50,242","391,257","435,048",12.84,"40,124","388,876","78,247",10.32,"21,881","267,384","4,359",8.18,0,0,0,0.00,"112,247","1,047,517","517,654",10.72
2024,4,TN,Preliminary,"357,155","2,798,685","3,083,344",12.76,"316,730","2,619,935","524,708",12.09,"110,531","1,790,501",987,6.17,0,0,0,0.00,"784,416","7,209,121","3,609,039",10.88
2024,4,TX,Preliminary,"1,452,624","9,668,775","12,364,667",15.02,"1,004,709","11,411,466","1,590,375",8.80,"650,846","11,061,436","366,918",5.88,30,693,2,4.27,"3,108,209","32,142,370","14,321,962",9.67
2024,4,UT,Preliminary,"78,114","705,846","1,222,525",11.07,"84,959","1,024,955","140,869",8.29,"45,453","688,493","11,000",6.60,538,"4,466",1,12.05,"209,064","2,423,760","1,374,395",8.63
2024,4,VA,Preliminary,"416,900","2,781,598","3,670,665",14.99,"519,021","5,581,635","452,242",9.30,"121,992","1,421,333","3,925",8.58,472,"4,800",1,9.84,"1,058,385","9,789,366","4,126,833",10.81
2024,4,VT,Preliminary,"35,431","162,154","320,755",21.85,"27,316","146,460","62,622",18.65,"11,270","99,728",237,11.30,0,0,0,0.00,"74,018","408,342","383,614",18.13
2024,4,WA,Preliminary,"360,055","3,039,778","3,355,710",11.84,"248,449","2,351,522","410,448",10.57,"106,072","1,706,058","27,472",6.22,599,"7,203",5,8.32,"715,175","7,104,561","3,793,635",10.07
2024,4,WI,Preliminary,"269,760","1,558,150","2,843,844",17.31,"218,611","1,768,792","368,986",12.36,"155,821","1,927,103","5,678",8.09,19,108,2,17.71,"644,211","5,254,152","3,218,510",12.26
2024,4,WV,Preliminary,"105,722","679,632","865,488",15.56,"65,482","539,601","151,800",12.14,"92,850","1,211,402","11,002",7.66,0,0,0,0.00,"264,053","2,430,635","1,028,290",10.86
2024,4,WY,Preliminary,"27,908","228,842","286,780",12.20,"38,673","430,629","59,158",8.98,"53,958","729,703","11,994",7.39,0,0,0,0.00,"120,538","1,389,175","357,932",8.68
2024,3,AK,Preliminary,"47,107","190,614","298,721",24.71,"48,421","227,282","57,410",21.30,"25,535","119,612","1,179",21.35,0,0,0,0.00,"121,063","537,508","357,310",22.52
2024,3,AL,Preliminary,"327,402","2,062,747","2,389,928",15.87,"230,488","1,659,707","383,817",13.89,"184,917","2,577,200","7,178",7.18,0,0,0,0.00,"742,806","6,299,654","2,780,923",11.79
2024,3,AR,Preliminary,"155,179","1,205,047","1,476,408",12.88,"91,176","853,577","208,774",10.68,"98,678","1,589,000","29,956",6.21,2,19,2,13.20,"345,035","3,647,642","1,715,140",9.46
2024,3,AZ,Preliminary,"319,356","2,136,694","3,084,292",14.95,"280,786","2,385,275","344,735",11.77,"83,301","1,161,041","7,063",7.17,81,837,2,9.67,"683,524","5,683,847","3,436,092",12.03
2024,3,CA,Preliminary,"1,921,809","5,918,231","14,111,959",32.47,"2,061,651","8,700,463","1,770,149",23.70,"564,145","2,975,250","146,529",18.96,"9,796","64,455",12,15.20,"4,557,402","17,658,398","16,028,649",25.81
2024,3,CO,Preliminary,"225,980","1,543,805","2,483,856",14.64,"189,210","1,707,548","397,196",11.08,"108,728","1,298,066","14,872",8.38,739,"7,620",1,9.70,"524,657","4,557,039","2,895,925",11.51
2024,3,CT,Preliminary,"286,238","983,117","1,545,273",29.12,"180,462","884,815","157,480",20.40,"32,129","203,539","3,867",15.79,"1,947","12,280",3,15.86,"500,776","2,083,751","1,706,623",24.03
2024,3,DC,Preliminary,"31,190","176,752","317,391",17.65,"101,321","596,362","27,489",16.99,"1,694","15,562",1,10.88,"2,404","24,294",3,9.89,"136,609","812,971","344,884",16.80
2024,3,DE,Preliminary,"73,679","443,899","467,737",16.60,"41,959","351,896","60,033",11.92,"12,106","145,024",764,8.35,0,0,0,0.00,"127,744","940,818","528,534",13.58
2024,3,FL,Preliminary,"1,317,012","8,963,916","10,330,697",14.69,"862,961","7,501,851","1,290,983",11.50,"126,753","1,453,505","26,660",8.72,662,"5,478",2,12.09,"2,307,388","17,924,749","11,648,342",12.87
2024,3,GA,Preliminary,"536,634","3,954,811","4,788,391",13.57,"407,813","3,671,303","613,015",11.11,"160,934","2,744,389","23,445",5.86,663,"12,231",1,5.42,"1,106,044","10,382,733","5,424,852",10.65
2024,3,HI,Preliminary,"88,463","195,488","446,394",45.25,"89,769","220,029","59,838",40.80,"97,742","272,545",814,35.86,0,0,0,0.00,"275,975","688,062","507,046",40.11
2024,3,IA,Preliminary,"147,652","1,148,625","1,463,084",12.85,"94,604","993,078","251,081",9.53,"134,626","2,240,116","8,291",6.01,0,0,0,0.00,"376,882","4,381,818","1,722,456",8.60
2024,3,ID,Preliminary,"92,174","832,877","857,022",11.07,"50,471","551,200","122,793",9.16,"38,643","589,745","29,265",6.55,0,0,0,0.00,"181,289","1,973,822","1,009,080",9.18
